# start_time, end_time, gps_time, lat, long, elev, ecef_x, ecef_y, ecef_z, ecef_vx, ecef_vy, ecef_vz, gdop, pdop, hdop, vdop, tdop
1461782328.093970,1461782328.103950,1461782345.070000,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.120000,4115325.490000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.193968,1461782328.203960,1461782345.169999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.120000,4115325.490000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.296973,1461782328.306974,1461782345.270000,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.110000,4115325.490000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.393991,1461782328.403864,1461782345.369999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.110000,4115325.490000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.494386,1461782328.504377,1461782345.469999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.110000,4115325.490000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.594521,1461782328.604513,1461782345.570000,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.110000,4115325.490000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.707404,1461782328.717402,1461782345.669999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.100000,4115325.500000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.794167,1461782328.804035,1461782345.770000,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.100000,4115325.500000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.894429,1461782328.904422,1461782345.869999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.100000,4115325.500000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782328.994565,1461782329.004556,1461782345.969999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.100000,4115325.500000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.094576,1461782329.104572,1461782346.070000,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.100000,4115325.500000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.195959,1461782329.205958,1461782346.169999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.090000,4115325.500000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.294721,1461782329.304472,1461782346.270000,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.090000,4115325.510000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.394422,1461782329.404403,1461782346.369999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.090000,4115325.510000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.494515,1461782329.504494,1461782346.469999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.090000,4115325.510000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.594514,1461782329.604505,1461782346.570000,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.090000,4115325.510000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.706529,1461782329.716397,1461782346.669999,3,8,40.438111,-79.933954,334.170000,849712.440000,-4786688.080000,4115325.520000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.794039,1461782329.804030,1461782346.770000,3,8,40.438111,-79.933954,334.170000,849712.450000,-4786688.080000,4115325.520000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.894052,1461782329.904041,1461782346.869999,3,8,40.438111,-79.933954,334.170000,849712.450000,-4786688.080000,4115325.520000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782329.994067,1461782330.004180,1461782346.969999,3,8,40.438111,-79.933954,334.170000,849712.450000,-4786688.070000,4115325.520000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782330.094364,1461782330.104320,1461782347.070000,3,8,40.438111,-79.933954,334.170000,849712.450000,-4786688.070000,4115325.520000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782330.196715,1461782330.206577,1461782347.169999,3,8,40.438111,-79.933954,334.170000,849712.450000,-4786688.070000,4115325.520000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782330.294095,1461782330.304093,1461782347.270000,3,8,40.438111,-79.933954,334.170000,849712.450000,-4786688.070000,4115325.520000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782330.394114,1461782330.405481,1461782347.369999,3,8,40.438111,-79.933954,334.170000,849712.450000,-4786688.060000,4115325.530000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
1461782330.494127,1461782330.504118,1461782347.469999,3,8,40.438111,-79.933954,334.170000,849712.450000,-4786688.060000,4115325.530000,0.000000,0.000000,0.000000,0.700000,0.170000,1.200000,2.450000,1.770000
