1452813252.888865,1452813252.895300,6.270968,-1.466077,2.593559,1.000977,-0.054688,0.089844,240.0000
1452813253.095711,1452813253.102179,6.227335,-1.469567,2.645919,0.996094,-0.047852,0.088867,240.0000
1452813253.302400,1452813253.309086,6.263987,-1.467822,2.612758,0.998047,-0.051758,0.088867,240.0000
1452813253.509289,1452813253.515812,0.010472,-1.467822,2.586578,0.999023,-0.053711,0.086914,240.0000
1452813253.716006,1452813253.722465,6.251769,-1.464331,2.640683,0.998047,-0.050781,0.092773,240.0000
1452813253.922652,1452813253.929121,6.213372,-1.474803,2.635447,0.995117,-0.045898,0.083008,240.0000
1452813254.129304,1452813254.135773,6.190683,-1.466077,2.665118,1.000977,-0.047852,0.092773,240.0000
1452813254.335968,1452813254.342443,6.260496,-1.467822,2.586578,0.997070,-0.053711,0.086914,240.0000
1452813254.542628,1452813254.549094,6.204645,-1.471313,2.651155,1.000977,-0.046875,0.087891,240.0000
1452813254.749273,1452813254.755742,6.181956,-1.467822,2.665118,0.998047,-0.046875,0.090820,240.0000
1452813254.955933,1452813254.962400,6.213372,-1.466077,2.656391,0.998047,-0.048828,0.092773,240.0000
1452813255.162579,1452813255.169046,6.265732,-1.464331,2.581342,0.997070,-0.055664,0.088867,240.0000
1452813255.369224,1452813255.375698,6.243043,-1.469567,2.624975,0.998047,-0.049805,0.087891,240.0000
1452813255.575887,1452813255.582344,6.246533,-1.467822,2.612758,0.998047,-0.051758,0.088867,240.0000
1452813255.782524,1452813255.788991,6.229080,-1.464331,2.626721,0.999023,-0.051758,0.091797,240.0000
1452813255.989172,1452813255.995636,6.208136,-1.469567,2.654646,1.000000,-0.046875,0.088867,240.0000
1452813256.195820,1452813256.202280,6.220353,-1.469567,2.638938,1.001953,-0.048828,0.088867,240.0000
1452813256.402457,1452813256.408927,6.230825,-1.466077,2.626721,0.997070,-0.050781,0.089844,240.0000
1452813256.609113,1452813256.615580,6.211627,-1.466077,2.651155,0.996094,-0.048828,0.091797,240.0000
1452813256.815778,1452813256.822238,6.232571,-1.471313,2.623230,1.004883,-0.048828,0.085938,240.0000
1452813257.022424,1452813257.028889,6.248279,-1.469567,2.642428,1.000977,-0.047852,0.087891,240.0000
1452813257.229069,1452813257.235535,6.230825,-1.464331,2.626721,0.997070,-0.051758,0.091797,240.0000
1452813257.435722,1452813257.442181,6.209881,-1.471313,2.659882,0.995117,-0.045898,0.087891,240.0000
1452813257.642365,1452813257.648834,0.144862,-1.455605,2.398082,1.004883,-0.078125,0.084961,240.0000
1452813257.849018,1452813257.855464,0.062832,-1.457350,2.502802,0.997070,-0.067383,0.090820,240.0000
1452813258.055670,1452813258.062115,0.052360,-1.459095,2.504547,0.996094,-0.066406,0.089844,240.0000
1452813258.262335,1452813258.268786,6.010914,-1.483530,2.857104,1.001953,-0.024414,0.083984,240.0000
1452813258.468976,1452813258.475441,5.609488,-1.480039,-2.998476,0.995117,0.012695,0.088867,240.0000
1452813258.675639,1452813258.682117,5.986479,-1.483530,2.879793,0.997070,-0.022461,0.083984,240.0000
1452813258.882300,1452813258.888852,0.008727,-1.460841,2.532473,0.992188,-0.062500,0.089844,240.0000
1452813259.089034,1452813259.095495,0.195477,-1.439897,2.338741,1.000000,-0.093750,0.090820,240.0000
1452813259.295675,1452813259.302129,0.078540,-1.455605,2.457424,0.996094,-0.072266,0.088867,240.0000
1452813259.502311,1452813259.508776,6.166248,-1.467822,2.677335,1.000977,-0.045898,0.091797,240.0000
1452813259.708980,1452813259.715444,5.956809,-1.483530,2.890265,1.001953,-0.021484,0.083984,240.0000
1452813259.915630,1452813259.922087,6.073746,-1.473058,2.780309,1.000000,-0.034180,0.090820,240.0000
1452813260.122267,1452813260.128736,6.227335,-1.462586,2.595305,0.994141,-0.055664,0.091797,240.0000
1452813260.328915,1452813260.335378,0.008727,-1.460841,2.537709,1.000977,-0.062500,0.090820,240.0000
1452813260.535561,1452813260.542016,6.262241,-1.462586,2.576106,0.996094,-0.057617,0.090820,240.0000
1452813260.742196,1452813260.748660,6.140068,-1.474803,2.708751,0.997070,-0.040039,0.086914,240.0000
1452813260.948845,1452813260.955310,6.222099,-1.466077,2.617994,0.999023,-0.051758,0.089844,240.0000
1452813261.155494,1452813261.161956,6.230825,-1.466077,2.605777,0.997070,-0.052734,0.088867,240.0000
1452813261.362189,1452813261.368659,6.257005,-1.467822,2.581342,0.994141,-0.053711,0.085938,240.0000
1452813261.568844,1452813261.575304,6.181956,-1.471313,2.659882,0.999023,-0.045898,0.087891,240.0000
1452813261.775485,1452813261.781945,6.211627,-1.466077,2.630211,0.999023,-0.050781,0.090820,240.0000
1452813261.982123,1452813261.988587,6.209881,-1.469567,2.619739,0.997070,-0.049805,0.086914,240.0000
1452813262.188763,1452813262.195229,6.246533,-1.467822,2.600541,0.993164,-0.052734,0.087891,240.0000
1452813262.395415,1452813262.401874,6.201155,-1.467822,2.630211,1.000000,-0.049805,0.088867,240.0000
1452813262.602051,1452813262.608512,6.253515,-1.466077,2.597050,0.999023,-0.053711,0.088867,240.0000
1452813262.808688,1452813262.815157,6.202900,-1.469567,2.645919,0.998047,-0.047852,0.088867,240.0000
1452813263.015337,1452813263.021816,6.209881,-1.469567,2.642428,0.995117,-0.047852,0.087891,240.0000
1452813263.221998,1452813263.228449,6.176720,-1.462586,2.668608,0.995117,-0.048828,0.095703,240.0000
1452813263.428646,1452813263.435100,6.257005,-1.473058,2.583087,0.999023,-0.051758,0.083008,240.0000
